Sample	Top over-represented sequence	Sum of remaining over-represented sequences
16S0064C_S1_L001_R1_001	11.95060822788679	73.38128519129809
16S0064C_S1_L001_R2_001	10.825165895769233	68.83129232294824
16S0064O_S9_L001_R1_001	14.583333333333334	85.41666666666661
16S0064O_S9_L001_R2_001	4.166666666666666	95.83333333333327
16S0064W_S17_L001_R1_001	37.17247041116508	40.329753027296974
16S0064W_S17_L001_R2_001	21.626359718136417	46.1739755079702
16S0073C_S25_L001_R1_001	18.40936312280139	70.16824950722886
16S0073C_S25_L001_R2_001	17.04375053049522	66.73818528194049
16S0073O_S32_L001_R1_001	19.65787403956682	68.24520539657568
16S0073O_S32_L001_R2_001	15.422893096981063	68.77306552120515
16S0073W_S39_L001_R1_001	17.30074023067654	59.37553795834046
16S0073W_S39_L001_R2_001	18.092614907901535	49.24578240661039
16S0074C_S52_L001_R1_001	24.801533053412754	65.07494385313935
16S0074C_S52_L001_R2_001	22.523923444976077	63.31120007811738
16S0074O_S46_L001_R1_001	36.399516427250745	51.68243019011045
16S0074O_S46_L001_R2_001	28.809320627696394	53.26233821646993
16S0084C_S58_L001_R1_001	31.575978792493576	58.23362098834073
16S0084C_S58_L001_R2_001	22.6997671364226	63.056072582529616
16S0084W_S64_L001_R1_001	20.24823625243335	66.48948654581602
16S0084W_S64_L001_R2_001	20.194046747939417	60.22628432577208
16S0087C_S76_L001_R1_001	13.73690613495963	75.76311756434364
16S0087C_S76_L001_R2_001	10.847961069944544	73.29523012023448
16S0087O_S70_L001_R1_001	28.38407019912251	61.135335808302436
16S0087O_S70_L001_R2_001	27.380357745528183	56.232197097536286
16S0088C_S10_L001_R1_001	34.17734137466979	52.57937496884809
16S0088C_S10_L001_R2_001	33.205402980611076	48.046154612969126
16S0088O_S2_L001_R1_001	28.32610143030971	59.16155841770555
16S0088O_S2_L001_R2_001	27.8967789333517	55.12546777785427
16S0089C_S18_L001_R1_001	24.11764705882353	67.13127839862457
16S0089C_S18_L001_R2_001	22.51688566867248	63.211961193663306
16S0089O_S26_L001_R1_001	17.352225539786463	70.59401456828593
16S0089O_S26_L001_R2_001	13.126808562897693	69.97075596969673
16S0090C_S40_L001_R1_001	19.87961645241817	67.06716748711005
16S0090C_S40_L001_R2_001	15.14359704173763	66.27160954669522
16S0090O_S33_L001_R1_001	11.269537051731223	76.70406224186263
16S0090O_S33_L001_R2_001	10.345024028386456	72.0363294554244
16S0092C_S53_L001_R1_001	16.1982234330334	71.89148744316327
16S0092C_S53_L001_R2_001	16.07159986953936	67.59396043972913
16S0092O_S47_L001_R1_001	11.76470588235294	88.23529411764716
16S0092O_S47_L001_R2_001	3.9215686274509802	96.07843137254903
16S0093C_S65_L001_R1_001	12.339916651567313	75.33321253850336
16S0093C_S65_L001_R2_001	10.090233737996014	70.53959050552632
16S0093O_S59_L001_R1_001	32.52972341841283	54.04483308433038
16S0093O_S59_L001_R2_001	26.741660493904657	54.3128774277787
16S0093W_S71_L001_R1_001	15.844730321822025	64.76055825412604
16S0093W_S71_L001_R2_001	12.356341951649705	59.69875554684547
16S0094C_S3_L001_R1_001	9.504171938309765	78.34435707307698
16S0094C_S3_L001_R2_001	8.888390640764882	72.89201005749433
16S0094O_S77_L001_R1_001	51.23606398448861	39.6994667959282
16S0094O_S77_L001_R2_001	47.455162384876395	40.08725157537554
16S0113C_S19_L001_R1_001	43.00986842105263	44.24342105263152
16S0113C_S19_L001_R2_001	40.46052631578947	45.06578947368413
16S0113O_S11_L001_R1_001	22.130747352840128	63.92810368032069
16S0113O_S11_L001_R2_001	40.860937245713785	39.73129292997136
16S0117C_S27_L001_R1_001	45.34679303366748	45.30147593114924
16S0117C_S27_L001_R2_001	49.083110003359714	40.374413026322976
16S0117O_S34_L001_R1_001	20.199342443525143	68.36228814558693
16S0117O_S34_L001_R2_001	7.661429171167517	74.84304023170141
16S0117W_S41_L001_R1_001	21.066307782661077	68.35303114448396
16S0117W_S41_L001_R2_001	30.17047581702593	55.44997418377248
16S0118C_S54_L001_R1_001	7.854634035803308	78.16111488783139
16S0118C_S54_L001_R2_001	7.038862451846817	73.03138454566056
16S0118O_S48_L001_R1_001	48.04216867469879	41.490963855421704
16S0118O_S48_L001_R2_001	46.68674698795181	39.60843373493974
16S0118W_S60_L001_R1_001	58.03291536050157	32.87617554858934
16S0118W_S60_L001_R2_001	55.91692789968652	32.05329153605026
16S0119C_S72_L001_R1_001	20.18954623779437	68.02125215393434
16S0119C_S72_L001_R2_001	18.897185525560023	63.785180930499536
16S0119O_S66_L001_R1_001	5.187393377331114	78.54578972238724
16S0119O_S66_L001_R2_001	6.62391898052269	69.64919839754515
16S0119W_S78_L001_R1_001	38.78413728157371	48.684733703044905
16S0119W_S78_L001_R2_001	36.64050783021171	47.30215200027899
16S0120C_S12_L001_R1_001	17.619784953677673	70.53882684705411
16S0120C_S12_L001_R2_001	16.713234085620616	66.84428604793995
16S0120O_S4_L001_R1_001	9.243938491406887	76.59728197321687
16S0120O_S4_L001_R2_001	8.98471109934476	71.24396055331258
16S0120W_S20_L001_R1_001	41.82196265817184	47.09273515618091
