Sample	Unique Reads	Duplicate Reads
16S0064C_S1_L001_R1_001	6306.0	140925.0
16S0064C_S1_L001_R2_001	10624.0	136607.0
16S0064O_S9_L001_R1_001	36.0	12.0
16S0064O_S9_L001_R2_001	44.0	4.0
16S0064W_S17_L001_R1_001	6082.0	110854.0
16S0064W_S17_L001_R2_001	11511.0	105425.0
16S0073C_S25_L001_R1_001	5760.0	206306.0
16S0073C_S25_L001_R2_001	11302.0	200764.0
16S0073O_S32_L001_R1_001	4369.0	127863.0
16S0073O_S32_L001_R2_001	7436.0	124796.0
16S0073W_S39_L001_R1_001	5949.0	86995.0
16S0073W_S39_L001_R2_001	10504.0	82440.0
16S0074C_S52_L001_R1_001	6316.0	403324.0
16S0074C_S52_L001_R2_001	14899.0	394741.0
16S0074O_S46_L001_R1_001	4106.0	164638.0
16S0074O_S46_L001_R2_001	9557.0	159187.0
16S0084C_S58_L001_R1_001	3317.0	120790.0
16S0084C_S58_L001_R2_001	6291.0	117816.0
16S0084W_S64_L001_R1_001	7960.0	281764.0
16S0084W_S64_L001_R2_001	15604.0	274120.0
16S0087C_S76_L001_R1_001	6039.0	247133.0
16S0087C_S76_L001_R2_001	13806.0	239366.0
16S0087O_S70_L001_R1_001	3811.0	144339.0
16S0087O_S70_L001_R2_001	8852.0	139298.0
16S0088C_S10_L001_R1_001	1942.0	38184.0
16S0088C_S10_L001_R2_001	3080.0	37046.0
16S0088O_S2_L001_R1_001	2032.0	41525.0
16S0088O_S2_L001_R2_001	3207.0	40350.0
16S0089C_S18_L001_R1_001	3555.0	159305.0
16S0089C_S18_L001_R2_001	8230.0	154630.0
16S0089O_S26_L001_R1_001	4471.0	125812.0
16S0089O_S26_L001_R2_001	7858.0	122425.0
16S0090C_S40_L001_R1_001	2335.0	40528.0
16S0090C_S40_L001_R2_001	3876.0	38987.0
16S0090O_S33_L001_R1_001	7212.0	238539.0
16S0090O_S33_L001_R2_001	13529.0	232222.0
16S0092C_S53_L001_R1_001	2281.0	49842.0
16S0092C_S53_L001_R2_001	3570.0	48553.0
16S0092O_S47_L001_R1_001	57.0	45.0
16S0092O_S47_L001_R2_001	86.0	16.0
16S0093C_S65_L001_R1_001	5177.0	132798.0
16S0093C_S65_L001_R2_001	10122.0	127853.0
16S0093O_S59_L001_R1_001	8407.0	310197.0
16S0093O_S59_L001_R2_001	14761.0	303843.0
16S0093W_S71_L001_R1_001	3990.0	67447.0
16S0093W_S71_L001_R2_001	6991.0	64446.0
16S0094C_S3_L001_R1_001	4651.0	120231.0
16S0094C_S3_L001_R2_001	9006.0	115876.0
16S0094O_S77_L001_R1_001	202.0	1861.0
16S0094O_S77_L001_R2_001	287.0	1776.0
16S0113C_S19_L001_R1_001	382.0	2050.0
16S0113C_S19_L001_R2_001	423.0	2009.0
16S0113O_S11_L001_R1_001	9470.0	377643.0
16S0113O_S11_L001_R2_001	18370.0	368743.0
16S0117C_S27_L001_R1_001	3073.0	124914.0
16S0117C_S27_L001_R2_001	4802.0	123185.0
16S0117O_S34_L001_R1_001	6102.0	205895.0
16S0117O_S34_L001_R2_001	12133.0	199864.0
16S0117W_S41_L001_R1_001	12921.0	1114277.0
16S0117W_S41_L001_R2_001	31242.0	1095956.0
16S0118C_S54_L001_R1_001	2335.0	32969.0
16S0118C_S54_L001_R2_001	3536.0	31768.0
16S0118O_S48_L001_R1_001	197.0	1131.0
16S0118O_S48_L001_R2_001	238.0	1090.0
16S0118W_S60_L001_R1_001	268.0	2284.0
16S0118W_S60_L001_R2_001	342.0	2210.0
16S0119C_S72_L001_R1_001	637.0	6327.0
16S0119C_S72_L001_R2_001	972.0	5992.0
16S0119O_S66_L001_R1_001	26358.0	1173551.0
16S0119O_S66_L001_R2_001	58974.0	1140935.0
16S0119W_S78_L001_R1_001	4428.0	138927.0
16S0119W_S78_L001_R2_001	7870.0	135485.0
16S0120C_S12_L001_R1_001	4098.0	111505.0
16S0120C_S12_L001_R2_001	7152.0	108451.0
16S0120O_S4_L001_R1_001	7370.0	173938.0
16S0120O_S4_L001_R2_001	12626.0	168682.0
16S0120W_S20_L001_R1_001	4807.0	221213.0
16S0120W_S20_L001_R2_001	9915.0	216105.0
16S0123C_S28_L001_R1_001	5208.0	129079.0
16S0123C_S28_L001_R2_001	9518.0	124769.0
16S0123O_S35_L001_R1_001	8694.0	240353.0
16S0123O_S35_L001_R2_001	15673.0	233374.0
16S0123W_S42_L001_R1_001	3870.0	126774.0
16S0123W_S42_L001_R2_001	7469.0	123175.0
16S0141C_S55_L001_R1_001	4165.0	129420.0
16S0141C_S55_L001_R2_001	7090.0	126495.0
16S0141O_S49_L001_R1_001	10627.0	307503.0
16S0141O_S49_L001_R2_001	20099.0	298031.0
16S0142C_S5_L001_R1_001	7403.0	230670.0
16S0142C_S5_L001_R2_001	14242.0	223831.0
16S0142O_S13_L001_R1_001	4217.0	144479.0
16S0142O_S13_L001_R2_001	9814.0	138882.0
16S0143C_S61_L001_R1_001	5847.0	198761.0
16S0143C_S61_L001_R2_001	10387.0	194221.0
16S0143O_S67_L001_R1_001	3651.0	112769.0
16S0143O_S67_L001_R2_001	7466.0	108954.0
16S0146C_S73_L001_R1_001	4585.0	272064.0
16S0146C_S73_L001_R2_001	10795.0	265854.0
16S0146O_S79_L001_R1_001	5149.0	159026.0
16S0146O_S79_L001_R2_001	8895.0	155280.0
16SNEGCTRL_S21_L001_R1_001	159.0	655.0
16SNEGCTRL_S21_L001_R2_001	233.0	581.0
