Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
16S0064C_S1_L001_R1_001										4.321780059905862	1.733330616514185	10.435302348010948	6.893249383621655	31.799688924207537	18.354150960055968	19.555664228321483
16S0064C_S1_L001_R2_001										5.458089668615984	2.386046416855146	10.352439363992637	9.091156074468012	29.383757496722833	14.946580543499671	17.84270975541836
16S0064O_S9_L001_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
16S0064O_S9_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
16S0064W_S17_L001_R1_001										7.0978997058219875	5.857050010262023	11.862899363754533	6.67373606075118	16.29438325237737	6.986727782718752	37.17247041116508
16S0064W_S17_L001_R2_001										10.609222138605732	5.302045563385099	11.291646712731751	3.684066497913389	15.56492440309229	16.833139495108433	21.626359718136417
16S0073C_S25_L001_R1_001										3.418746993860402	1.7810492959738948	4.6749596823630375	5.174804070430904	16.296341704940914	20.206445163298216	44.0061113049711
16S0073C_S25_L001_R2_001										4.2623522865523	2.1398998425018627	5.369554761253572	5.614761442192525	18.438599303990266	15.788952495921082	40.7722124244339
16S0073O_S32_L001_R1_001										4.735616189727146	1.5956803194385625	5.276332506503721	4.206999818500816	19.41814386835259	3.90147619335713	55.51606267771795
16S0073O_S32_L001_R2_001										4.847540686066912	2.0577469901385443	6.276090507592716	8.916903623933692	26.721973501119244	16.66540625567185	26.147982334079494
16S0073W_S39_L001_R1_001										8.26411602685488	5.241866069891548	16.649810638664142	6.247848166637975	20.722155276295403	0.0	32.6411602685488
16S0073W_S39_L001_R2_001										11.552117404028232	4.575873644344982	17.09416422792219	4.637200895162678	18.799492167326562	7.996212773282838	18.092614907901535
16S0074C_S52_L001_R1_001										2.9237867395762134	1.9736842105263157	3.485011229372131	0.6554535689874036	5.425007323503564	3.669563519187579	79.57963089542037
16S0074C_S52_L001_R2_001										3.472073039742213	2.372815154770042	3.6624841324089443	1.270383751586759	7.879113367835172	3.42495850014647	73.03803339517626
16S0074O_S46_L001_R1_001										3.4010098136822644	2.216967714407623	4.926397383018063	3.028848433129474	14.137391551699615	9.706419191200872	58.782534490115204
16S0074O_S46_L001_R2_001										4.7569098753140855	2.6027592092163276	5.257075807139809	6.035770160716825	17.151424643246575	7.358483857203811	49.14545109752051
16S0084C_S58_L001_R1_001										3.684723665868968	1.415713859814515	3.0304495314526982	6.051229987027323	17.51391944048281	7.2485838832620235	56.70348973063566
16S0084C_S58_L001_R2_001										4.816811299926676	1.6671098326444116	4.4598612487611495	4.151256576985988	20.102814506836843	18.890956996785032	38.59653363629771
16S0084W_S64_L001_R1_001										3.8709254324805675	1.7765183415940689	6.492040700804903	3.0466927144454723	16.17504935731938	9.539078571329956	54.575388990901686
16S0084W_S64_L001_R2_001										4.143253579268545	2.791967527716033	8.179163617787964	4.7579765569990755	19.53238254338612	11.674559235686377	41.079095967196366
16S0087C_S76_L001_R1_001										3.9696332927811926	1.2465833504494968	2.395999557613006	2.3339863808004044	16.32408007204588	12.63765345298848	57.00827895659868
16S0087C_S76_L001_R2_001										4.848877443003176	1.598518003570695	3.7045960848751043	1.551514385477067	16.43270187856477	16.36357891078002	47.697217701799566
16S0087O_S70_L001_R1_001										3.8798515018562267	1.461356733040837	3.661829227134661	3.4289571380357744	21.90010124873439	3.4964562942963213	57.87175160310496
16S0087O_S70_L001_R2_001										4.34694566317921	2.09382382720216	6.286196422544718	4.315896051299359	19.00978737765778	16.008099898751265	39.57543030712116
16S0088C_S10_L001_R1_001										7.401684693216369	2.9631660270149034	12.468225090963465	10.751133928126402	10.621542142251906	14.120520360863281	34.17734137466979
16S0088C_S10_L001_R2_001										9.402880925085979	3.322035587898121	17.312964162886907	9.485121866121716	16.13417734137467	0.0	33.205402980611076
