Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
16S0064C_S1_L001_R1_001	16S0064C_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147231.0	40.9 Mbp	0.0	29-283	50.0	4.283065387044848	274.02195189871696	274	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0064C_S1_L001_R2_001	16S0064C_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147231.0	40.3 Mbp	0.0	24-281	51.0	7.215871657463442	273.99094620018883	274	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0064O_S9_L001_R1_001	16S0064O_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48.0	13.3 kbp	0.0	276-283	51.0	75.0	278.25	278	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
16S0064O_S9_L001_R2_001	16S0064O_S9_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48.0	13.1 kbp	0.0	273-278	52.0	89.58333333333334	274.25	274	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
16S0064W_S17_L001_R1_001	16S0064W_S17_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116936.0	32.5 Mbp	0.0	46-284	51.0	5.201135663952932	277.01098891701446	277	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0064W_S17_L001_R2_001	16S0064W_S17_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116936.0	32 Mbp	0.0	42-282	52.0	9.843846206471916	272.2388571526305	272	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0073C_S25_L001_R1_001	16S0073C_S25_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212066.0	58.9 Mbp	0.0	25-284	51.0	2.716135542708402	274.00775230352815	274	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0073C_S25_L001_R2_001	16S0073C_S25_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212066.0	58.1 Mbp	0.0	20-283	52.0	5.329472899946243	273.9833353767223	274	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
16S0073O_S32_L001_R1_001	16S0073O_S32_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132232.0	36.7 Mbp	0.0	25-283	50.0	3.3040413818137817	274.01858854135156	274	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0073O_S32_L001_R2_001	16S0073O_S32_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132232.0	36.2 Mbp	0.0	21-283	51.0	5.623449694476375	273.9948121483453	274	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
16S0073W_S39_L001_R1_001	16S0073W_S39_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92944.0	25.8 Mbp	0.0	52-283	52.0	6.400628335341711	276.9956425374419	277	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0073W_S39_L001_R2_001	16S0073W_S39_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92944.0	25.4 Mbp	0.0	48-280	53.0	11.301428817352384	272.20999741779997	272	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
16S0074C_S52_L001_R1_001	16S0074C_S52_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409640.0	113.8 Mbp	0.0	73-284	50.0	1.541841617029587	277.0129748071477	277	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0074C_S52_L001_R2_001	16S0074C_S52_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409640.0	112.2 Mbp	0.0	35-283	52.0	3.6370959867200465	272.24084562054486	272	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0074O_S46_L001_R1_001	16S0074O_S46_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	168744.0	46.9 Mbp	0.0	25-283	53.0	2.43327170151235	274.0206822168492	274	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
16S0074O_S46_L001_R2_001	16S0074O_S46_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	168744.0	46.2 Mbp	0.0	20-282	54.0	5.663608780164036	273.9882721756033	274	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
16S0084C_S58_L001_R1_001	16S0084C_S58_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124107.0	34.5 Mbp	0.0	38-283	49.0	2.6726937239639987	277.01563167266954	277	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
