Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
16S0064C_S1_L001_R1_001	95.71693461295516	50.0	274.02195189871696	274	45.45454545454545	147231.0
16S0064C_S1_L001_R2_001	92.78412834253656	51.0	273.99094620018883	274	54.54545454545454	147231.0
16S0064O_S9_L001_R1_001	25.0	51.0	278.25	278	36.36363636363637	48.0
16S0064O_S9_L001_R2_001	10.416666666666657	52.0	274.25	274	36.36363636363637	48.0
16S0064W_S17_L001_R1_001	94.79886433604707	51.0	277.01098891701446	277	45.45454545454545	116936.0
16S0064W_S17_L001_R2_001	90.15615379352809	52.0	272.2388571526305	272	54.54545454545454	116936.0
16S0073C_S25_L001_R1_001	97.2838644572916	51.0	274.00775230352815	274	45.45454545454545	212066.0
16S0073C_S25_L001_R2_001	94.67052710005376	52.0	273.9833353767223	274	45.45454545454545	212066.0
16S0073O_S32_L001_R1_001	96.69595861818622	50.0	274.01858854135156	274	45.45454545454545	132232.0
16S0073O_S32_L001_R2_001	94.37655030552362	51.0	273.9948121483453	274	45.45454545454545	132232.0
16S0073W_S39_L001_R1_001	93.59937166465829	52.0	276.9956425374419	277	45.45454545454545	92944.0
16S0073W_S39_L001_R2_001	88.69857118264761	53.0	272.20999741779997	272	45.45454545454545	92944.0
16S0074C_S52_L001_R1_001	98.45815838297041	50.0	277.0129748071477	277	45.45454545454545	409640.0
16S0074C_S52_L001_R2_001	96.36290401327996	52.0	272.24084562054486	272	54.54545454545454	409640.0
16S0074O_S46_L001_R1_001	97.56672829848765	53.0	274.0206822168492	274	45.45454545454545	168744.0
16S0074O_S46_L001_R2_001	94.33639121983596	54.0	273.9882721756033	274	45.45454545454545	168744.0
16S0084C_S58_L001_R1_001	97.327306276036	49.0	277.01563167266954	277	45.45454545454545	124107.0
16S0084C_S58_L001_R2_001	94.93098697092026	50.0	272.24549783654425	272	45.45454545454545	124107.0
16S0084W_S64_L001_R1_001	97.25255760654969	51.0	277.0151178362856	277	45.45454545454545	289724.0
16S0084W_S64_L001_R2_001	94.61418453424639	51.0	272.2400215377394	272	54.54545454545454	289724.0
16S0087C_S76_L001_R1_001	97.61466512884522	51.0	277.0125803801368	277	45.45454545454545	253172.0
16S0087C_S76_L001_R2_001	94.54679032436447	53.0	272.24412257279636	272	45.45454545454545	253172.0
16S0087O_S70_L001_R1_001	97.42760715491056	53.0	274.0142018224772	274	45.45454545454545	148150.0
16S0087O_S70_L001_R2_001	94.025649679379	53.0	273.98215997300036	274	45.45454545454545	148150.0
16S0088C_S10_L001_R1_001	95.16024522753327	52.0	277.01594975826146	277	45.45454545454545	40126.0
16S0088C_S10_L001_R2_001	92.3241788366645	52.0	272.2472212530529	272	45.45454545454545	40126.0
