	16S0064C	16S0064O	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0092O	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118O	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	16SNEGCTRL
ASV_0001	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	54	0	0	0	0	5	37	193287	0	0	0	0	9	2731	0	0	0	0	0	41	0	0	5	0	0	0	0	0	0
ASV_0002	0	0	0	0	17235	4	0	103	24063	0	0	0	0	0	33859	211	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1411	0	0	0	0	64155	3352	0
ASV_0003	8454	0	0	6392	1088	6	15795	617	327	0	8485	1198	8769	14	483	44	612	0	2032	0	0	0	0	2884	0	0	11955	0	590	0	0	0	0	0	6	0	4986	0	0	1965	0	0	503	24	940	0	4826	27	15524	0	0
ASV_0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	94048	19	0	37	0	0	229	0	0	68	0	0	58	0	0	0	0	0	0	0	0	0
ASV_0005	433	0	18	92	1315	96	3048	850	302	211	0	126	22	0	0	0	289	43	320	0	166	49825	0	401	0	3	256	0	147	4081	125	0	0	0	214	0	0	37	17	379	0	0	30	18	0	0	0	123	764	59	0
ASV_0006	0	0	0	0	0	0	17041	35358	9	0	4657	1280	0	0	76	1801	0	0	2135	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0007	0	2	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	0	0	0	0	0	0	0	0	0	0	0	9	5674	0	0	39263	0	0	13930	0	0	0	0	0	0	0	0	0
ASV_0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	41	36098	0	0	5422	0	4	16147	0	20	13	0	0	0	0	0	0
ASV_0009	0	0	27	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	56754	4	0	0	0	119	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52068	6	97	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0
ASV_0011	208	0	29	0	97	0	0	83	0	0	0	0	1703	0	0	0	0	151	0	0	3310	0	0	9	0	0	387	0	0	0	329	0	0	0	11030	0	0	4028	0	21	20	0	0	28505	0	0	0	0	18	101	0
ASV_0012	0	0	0	0	0	0	0	0	0	45975	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0013	1092	0	96	0	170	38	22	376	75	0	0	0	0	0	4714	63	894	16	0	0	21	685	0	3016	0	0	405	0	265	0	0	0	0	0	43	0	15980	54	4	721	452	35	109	2663	7879	0	1990	0	3882	79	0
ASV_0014	2890	0	0	1589	0	0	0	2746	4010	0	0	0	379	0	24688	68	314	0	0	0	0	0	0	0	0	0	219	0	123	9	7	0	0	0	0	0	0	0	0	2828	0	0	4164	304	0	0	0	0	0	0	0
ASV_0015	0	0	0	0	0	0	23071	0	0	0	0	0	0	0	0	0	0	0	3248	0	0	0	0	0	0	0	0	0	3254	0	8	0	0	0	0	0	0	0	0	0	0	0	9639	0	0	0	0	0	0	0	0
ASV_0016	0	0	0	0	0	0	35899	0	0	0	0	0	0	0	0	0	0	0	2555	0	0	0	0	0	0	0	18	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0017	1112	0	70	0	0	0	0	0	246	0	0	0	40	0	0	0	195	0	0	0	0	199	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	92	0	0	32	82	0	0	63	0	33642	0	0
ASV_0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	1128	0	0	0	0	0	830	0	0	0	0	0	0	0	20373	0	0	0	0	0	11659	62	0	79	0	0	0	0	0	90	0
ASV_0019	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	33844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0020	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	2923	0	0	22085	0	0	7808	0	0	0	0	0	0	0	0	0
ASV_0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	29651	0	0	0	0	19	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0022	4137	0	0	101	34	0	16	12	0	0	0	0	263	0	0	0	21	0	11	0	0	0	0	0	0	0	0	5	2104	28	135	0	0	8	0	0	0	0	0	6922	0	0	9097	0	0	0	0	0	6615	54	0
ASV_0023	0	0	0	0	0	0	0	0	15849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	64	0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	12178	0	0
ASV_0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	88	188	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	1037	9	0	0	0	5262	342	21403	25	0	0	0
ASV_0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	94	0	0	0	25804	0	0	381	0	0	418	0	0	564	0	0	0	0	37	54	0
ASV_0026	42	0	22011	5	0	208	0	0	23	0	0	0	52	0	0	0	0	0	0	0	1144	155	0	278	0	0	0	0	50	422	0	0	0	0	0	0	0	78	0	0	0	0	0	2026	162	271	0	0	19	30	0
ASV_0027	536	0	0	0	32	0	0	658	0	0	0	0	36	0	0	0	0	179	0	0	0	0	0	0	0	9	626	0	69	0	0	0	0	0	15858	10	0	1627	0	574	1980	0	0	550	0	0	0	0	0	3675	0
ASV_0028	56	0	18	0	13	0	0	0	0	0	0	0	26	0	0	0	7	337	0	0	1766	5	0	66	0	0	0	0	0	15	652	0	0	0	7870	0	0	88	0	20	1296	0	0	1499	3202	8026	15	231	0	0	0
ASV_0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	129	0	0	0	0	196	0	0	0	0	0	0	0	0	0	2895	21041	0	0	0	0	0
ASV_0030	0	0	0	0	0	0	958	797	0	0	295	14724	0	7	809	4527	0	0	224	0	0	0	0	1747	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0031	0	0	17	0	265	19	0	685	493	0	0	0	0	0	2207	3776	28	106	0	0	65	164	0	820	0	10	704	0	0	0	65	0	0	13	1050	0	759	10	0	779	13	14	0	71	5629	0	5253	209	58	164	0
ASV_0032	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	4562	23	0	0	0	0	18	0	0	0	0	13079	0	0	4596	0	0	0	0	0	0	0	0
ASV_0033	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1136	8528	0	0	0	0	12118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV_0034	0	0	111	34	1100	126	12612	2337	0	1685	0	58	0	0	37	218	246	61	576	0	20	427	23	35	0	0	135	0	38	632	219	0	0	0	351	0	0	0	22	0	0	0	0	67	81	12	105	307	0	0	0
ASV_0035	293	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	42	0	0	0	0	0	0	1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7857	0	0	0	0	0	0	11383	3	0	0	0
ASV_0036	0	0	0	0	0	0	0	0	1149	0	0	0	34	0	0	0	0	438	0	0	660	0	0	9132	0	0	151	0	0	0	0	0	0	0	6010	0	0	153	0	0	1938	0	0	230	371	724	139	0	0	0	0
ASV_0037	0	0	0	0	0	52	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	5243	0	0	0	0	0	0	0	0	0	0	0	9	1512	0	0	6294	0	0	7530	0	0	0	0	0	0	0	0	0
ASV_0038	8342	0	12	0	389	5	0	0	380	0	0	0	67	0	0	112	0	35	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	1021	0	0	0	0	262	130	5	849	616	0	0	8191	269	0	160	0
ASV_0039	0	0	0	0	0	0	11630	9197	0	0	0	0	0	0	0	0	13	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0040	148	0	15	0	26	0	0	10	0	0	0	0	12	0	0	0	0	963	0	0	0	129	0	0	0	0	169	0	5	13	103	0	0	0	14176	0	3	15	0	13	538	0	0	668	0	0	0	3646	12	8	0
ASV_0041	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	725	0	0	15423	0	0	4242	0	0	0	0	0	0	0	0	0
ASV_0042	16	0	142	69	3412	116	50	87	0	243	0	0	0	0	145	826	5347	1463	0	0	0	0	104	193	0	0	0	0	358	0	0	0	0	0	23	0	0	0	72	0	0	0	32	1549	275	27	109	5509	0	0	0
ASV_0043	0	0	35	0	0	0	0	0	0	6594	0	0	0	0	0	0	0	0	0	0	16	1016	288	73	0	0	0	0	78	11287	103	0	0	0	130	0	0	0	0	0	0	0	0	41	150	54	0	0	0	0	0
ASV_0044	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18701	0	294	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	141	0	141	0	0	0	0
ASV_0045	0	0	0	0	0	0	2243	2400	0	0	108	2147	0	0	2052	9652	0	0	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0046	0	0	0	0	0	0	17794	0	0	0	0	0	0	0	0	0	0	0	1365	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0047	0	0	0	17858	0	0	0	0	0	0	42	0	24	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0
ASV_0048	0	0	0	0	8	0	10	12	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	171	11	0	0	0	0	13015	0	0	986	0	0	1314	0	0	857	0	0	0	0	0	1528	0
ASV_0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	139	0	0	1106	61	0	1253	0	0	158	0	0	0	0	0	0	0	13704	0	0	36	0	0	0	0	0	0	1156	199	138	0	0	0	0
ASV_0050	0	0	94	0	0	218	0	0	0	9922	0	0	0	9	0	0	0	0	0	0	215	238	525	186	0	0	13	0	100	6018	0	0	0	0	28	0	0	0	152	0	14	27	0	66	33	24	0	0	0	0	0
ASV_0051	0	0	0	0	0	0	16541	0	0	0	0	0	0	0	0	0	0	0	1145	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0052	0	0	0	0	0	0	16025	0	0	0	0	0	0	0	0	0	0	0	1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0053	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	2830	0	0	9907	0	0	3093	0	0	0	0	0	0	0	0	0
ASV_0054	0	0	58	10	0	504	3113	9464	0	1465	0	0	0	6	0	0	52	95	215	0	37	720	275	63	0	0	141	0	0	38	66	0	0	0	19	0	0	0	0	0	20	38	0	0	0	0	0	0	0	0	0
ASV_0055	0	0	0	0	0	0	3117	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	2059	0	14	0	0	80	0	0	0	0	0	1602	0	0	4975	0	0	0	0	0	4226	0	0
ASV_0056	91	0	107	0	0	0	106	0	6	0	0	0	0	0	0	0	123	0	0	0	0	255	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	344	54	0	0	14315	0	221	56	0	0	0
ASV_0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	15271	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0
ASV_0058	167	0	71	99	0	11	10	9	0	0	0	0	63	0	0	0	166	89	0	0	119	67	0	0	0	0	396	0	0	4	0	0	0	0	475	0	3071	963	0	423	3906	23	0	2017	1518	16	1782	23	10	35	0
ASV_0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	14872	0	0	358	0	22	155	0	0	0	0	0	0	0	7	0	0
ASV_0060	0	0	0	0	0	0	0	0	0	0	10016	0	0	0	1674	3684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0061	0	0	0	14618	97	12	0	0	91	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	39	0	0	44	0	0	0	0	0	0	0	0	0	0	198	0	0	0
ASV_0062	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1316	11273	0	0	0	0	1450	10	0	0	0	0	528	13	0	278	0	55	0	0	0	0	0
ASV_0063	3028	0	0	1765	157	0	5	170	0	0	0	0	25	0	0	0	0	0	0	0	0	2285	0	688	0	0	95	0	332	7	669	0	0	0	58	0	1945	0	0	334	0	0	0	281	0	0	0	2514	348	173	0
ASV_0064	0	0	0	614	330	23	0	0	0	0	126	128	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	12885	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0065	0	0	0	0	0	0	0	39	0	0	0	0	7	0	0	0	0	136	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	3732	0	0	0	0	0	0	0	0	375	427	57	0	0	0	8977	0
ASV_0066	0	0	0	24	306	0	0	0	0	0	0	0	0	0	0	0	27	89	0	0	0	0	0	0	0	0	0	0	13394	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0067	0	0	0	0	0	0	0	0	1674	0	0	0	23	0	0	0	136	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	307	0	142	337	0	0	466	0	0	0	0	5781	2681	0
ASV_0068	0	0	405	21	55	76	0	0	0	692	0	0	10	91	0	0	0	475	0	0	0	9201	80	24	0	0	0	0	102	1352	118	0	0	6	0	0	0	0	0	0	0	0	0	480	369	176	0	0	0	0	0
ASV_0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	118	0	0	0	13449	0	0	0	0	0	0
ASV_0070	0	0	0	0	0	0	0	145	0	0	0	0	110	0	0	0	0	12003	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	678	0	0	0	0	0	112	0	0	265	0	0	0	0	0	0	0
ASV_0071	32	0	0	0	55	0	0	0	176	0	0	0	19	0	0	0	0	1035	0	0	695	0	0	905	0	0	91	0	0	0	0	0	0	0	5591	0	44	20	0	166	529	0	0	514	0	176	1236	0	0	2028	0
ASV_0072	0	0	364	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4318	0	0	0	0	0	0	17	0	0	0	0	79	2236	0	0	3454	46	34	2075	0	0	0	0	0	0	0	0	0
ASV_0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12604	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0
ASV_0074	285	0	0	0	0	18	0	46	34	0	0	0	0	0	6243	895	184	0	0	0	0	467	0	84	0	0	0	0	40	0	43	0	0	0	101	0	421	1153	10	328	962	17	0	0	315	0	117	0	892	0	0
ASV_0075	6479	0	0	0	0	0	0	136	3598	0	0	0	522	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	209	0	0	0	0	0	0	0	0	0	0	913	0	0	680	57	0	0	0	0	0	0	0
ASV_0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	198	0	0	34	12153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0077	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	952	0	0	595	69	0	17	0	0	104	0	0	0	0	0	0	0	208	0	0	305	0	0	283	0	0	0	35	7899	1675	31	0	0	0
ASV_0078	20	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10856	0	0	1060	0	0	0	0	0	4	0	0	0	0	11	0	0
ASV_0079	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	103	0	0	2386	0	0	0	0	0	46	0	0	0	0	0	0	0	7951	0	0	545	0	0	390	0	0	0	0	434	0	0	0	0	0
